# time X1 X2
1.317232930823270749e+02 8.647071610433590405e-02 5.392536968838960998e-02
1.317332933323333179e+02 8.001612810459636516e-02 4.865599570055712669e-02
1.317432935823395610e+02 8.454969825002461858e-02 5.050399098841349549e-02
1.317532938323458325e+02 9.050027812842861841e-02 5.251682466525117721e-02
1.317632940823520755e+02 1.011474268223000739e-01 5.117486782439403803e-02
1.317732943323583186e+02 9.838928862507129169e-02 4.861712861471870206e-02
1.317832945823645616e+02 1.175373277694427149e-01 3.448722691171438731e-02
1.317932948323708331e+02 1.106410249804550550e-01 2.323520306297976665e-02
1.318032950823770761e+02 1.119929948819610027e-01 1.686060158161963723e-02
1.318132953323833192e+02 1.134101372632255605e-01 6.605215962475770308e-03
1.318232955823895622e+02 1.010893807709115355e-01 8.062824898833710272e-04
1.318332958323958337e+02 9.722379582586063163e-02 3.665255981950897406e-05
1.318432960824020768e+02 9.786687612278519022e-02 9.187858582544889416e-04
1.318532963324083198e+02 9.257159085955440903e-02 6.526375086904957247e-03
1.318632965824145629e+02 1.160877464809587367e-01 8.029945974022735869e-03
1.318732968324208343e+02 1.065807820100239528e-01 9.139725769155433374e-03
1.318832970824270774e+02 1.173549175001737666e-01 1.441239171376836048e-02
1.318932973324333204e+02 1.248180284152287378e-01 5.099389095071930542e-03
1.319032975824395635e+02 1.234567237315091076e-01 -3.284049272299469253e-03
1.319132978324458350e+02 1.135536457093100499e-01 -6.983318124115275860e-03
1.319232980824520780e+02 1.047006394576786709e-01 -1.388552472152147950e-02
1.319332983324583211e+02 9.840453244732917659e-02 -3.127736515401244310e-02
1.319432985824645641e+02 7.940668747762319457e-02 -2.520472354752913841e-02
1.319532988324708356e+02 6.845194272711641048e-02 -3.493585897141514296e-02
1.319632990824770786e+02 5.276797885135174615e-02 -1.647043733235033225e-02
1.319732993324833217e+02 6.561669690795364496e-02 -1.465205648180138709e-02
1.319832995824895647e+02 7.107189358034729509e-02 -2.952279364989237459e-02
1.319932998324958362e+02 7.807330166494896861e-02 -2.255823251853853254e-02
1.320033000825020792e+02 8.306809700112625927e-02 -2.199987256010550035e-02
1.320133003325083223e+02 8.379709290165610058e-02 -1.887006125255719785e-02
1.320233005825145653e+02 9.747157498766811923e-02 -2.365702495391609761e-02
1.320333008325208368e+02 9.027094755570448659e-02 -3.273291253700570669e-02
1.320433010825270799e+02 9.027127007113286417e-02 -4.701828993909230869e-02
1.320533013325333229e+02 9.660405419896730961e-02 -5.936811817941700653e-02
1.320633015825395660e+02 8.212908074751924803e-02 -7.245543535171281024e-02
1.320733018325458374e+02 1.119114017247109794e-01 -7.530489126060468941e-02
1.320833020825520805e+02 1.107014208789367099e-01 -7.506791560672917973e-02
1.320933023325583235e+02 1.106389615978696228e-01 -8.978803940088583846e-02
1.321033025825645666e+02 1.216524121016357152e-01 -7.986338023537772890e-02
1.321133028325708381e+02 1.291861244095447170e-01 -7.764829897794704727e-02
1.321233030825770811e+02 1.278868018645241134e-01 -5.260064627953942029e-02
1.321333033325833242e+02 1.276462249954616046e-01 -5.612562768593980234e-02
1.321433035825895672e+02 1.110476492975975005e-01 -3.323465761709607641e-02
1.321533038325958387e+02 1.042063417380362789e-01 -2.544245968780116385e-02
1.321633040826020817e+02 1.082091681838065061e-01 -4.478146646774282258e-02
1.321733043326083248e+02 1.113420975600585977e-01 -5.624036235659668481e-02
1.321833045826145678e+02 1.221591322727158951e-01 -5.249845112107297262e-02
1.321933048326208393e+02 1.194700381121501370e-01 -6.944937911157694765e-02
1.322033050826270824e+02 1.040552257011620879e-01 -7.771745226142812157e-02
1.322133053326333254e+02 1.131933904906001070e-01 -9.286365373765875786e-02
1.322233055826395685e+02 1.259580317788259740e-01 -7.054789924136230239e-02
1.322333058326458399e+02 1.333281576933932067e-01 -5.885614068104381286e-02
1.322433060826520830e+02 1.300642587044791576e-01 -6.165740787074498741e-02
1.322533063326583260e+02 1.388991895968464119e-01 -4.591681084258199264e-02
1.322633065826645691e+02 1.715697184267471753e-01 -3.287856103104442457e-02
1.322733068326708405e+02 1.708411515817292448e-01 -1.944637684196793767e-02
1.322833070826770836e+02 1.559181412592508531e-01 -2.484522285407454387e-02
1.322933073326833266e+02 1.483718832368664531e-01 -2.768562955912233156e-02
1.323033075826895697e+02 1.530044962597426894e-01 -3.837469584221679664e-02
1.323133078326958412e+02 1.352345347089535244e-01 -3.912809234327759705e-02
1.323233080827020842e+02 1.353805796492683067e-01 -4.686238693794150811e-02
1.323333083327083273e+02 1.375958284212447369e-01 -5.713505786331502662e-02
1.323433085827145703e+02 1.512854122458422435e-01 -4.524773361012551093e-02
1.323533088327208418e+02 1.626482680158762018e-01 -3.807914410887467543e-02
1.323633090827270848e+02 1.694772375326907832e-01 -4.652249139686134155e-02
1.323733093327333279e+02 1.459230625952342708e-01 -3.660272958584170205e-02
1.323833095827395709e+02 1.534913496018319723e-01 -3.314852180848910923e-02
1.323933098327458424e+02 1.588458273573736812e-01 -3.597067711240009569e-02
1.324033100827520855e+02 1.596369594690214000e-01 -1.970336218084848406e-02
1.324133103327583285e+02 1.406398518019720822e-01 -1.645250157410720060e-02
1.324233105827645716e+02 1.313834516842112277e-01 1.487233530719257735e-03
1.324333108327708430e+02 1.184088256396820388e-01 7.131407283613117563e-03
1.324433110827770861e+02 9.711031002463238471e-02 1.357881599091088042e-02
1.324533113327833291e+02 9.617794949019266293e-02 2.684505542044567442e-03
1.324633115827895722e+02 8.725137130857316126e-02 -2.913375256138538930e-03
1.324733118327958437e+02 1.126173465218958530e-01 1.169039922120880884e-02
1.324833120828020867e+02 1.098619056584038550e-01 2.319286110975552276e-02
1.324933123328083298e+02 1.218167824660282006e-01 1.937760193692912927e-02
1.325033125828145728e+02 1.050045124041203148e-01 5.654451728429757060e-03
1.325133128328208443e+02 9.868184367867256779e-02 2.219564671002164508e-02
1.325233130828270873e+02 9.877498223577910186e-02 3.264011763331280125e-02
1.325333133328333304e+02 8.886889351551116589e-02 2.086946534404580250e-02
1.325433135828395734e+02 8.386254505902884793e-02 9.215288718803603743e-03
1.325533138328458449e+02 8.089048698959719341e-02 2.745865738094029063e-02
1.325633140828520879e+02 7.787979555215697458e-02 2.210790211334455468e-02
1.325733143328583310e+02 9.576272283755560277e-02 1.698847534536585338e-02
1.325833145828645740e+02 9.867230084022197978e-02 1.001334463254385798e-02
1.325933148328708455e+02 1.025307501843955027e-01 1.346791076599811697e-02
1.326033150828770886e+02 1.069693299798322450e-01 -6.695222104273427371e-04
1.326133153328833316e+02 1.120225528423529071e-01 1.713132939137282720e-03
1.326233155828895747e+02 1.100820231398764171e-01 -1.237137098729271245e-02
1.326333158328958461e+02 1.057118823387527273e-01 -2.624469133468582821e-02
1.326433160829020892e+02 1.061917006538745517e-01 -3.963859338687290845e-02
1.326533163329083322e+02 1.164996301695361836e-01 -5.251395382324688249e-02
1.326633165829145753e+02 1.263344459830884337e-01 -4.476517251464268154e-02
1.326733168329208468e+02 1.224432909038002254e-01 -3.709060946733165609e-02
1.326833170829270898e+02 1.287118418941066711e-01 -3.834672969833273493e-02
1.326933173329333329e+02 1.252871431962772619e-01 -4.427888032339921676e-02
1.327033175829395759e+02 1.241515828570499413e-01 -3.001811617344841282e-02
1.327133178329458474e+02 1.180247426320702314e-01 -2.276953883725128802e-02
1.327233180829520904e+02 1.149141961225009362e-01 -3.432870091002507978e-02
1.327333183329583335e+02 1.270067113522226065e-01 -3.047981309502907632e-02
1.327433185829645765e+02 1.265084566466175842e-01 -2.718515130560036561e-02
1.327533188329708480e+02 1.264602714091465907e-01 -1.972879180478136207e-02
1.327633190829770911e+02 1.106248469434516213e-01 7.958573460893108437e-03
1.327733193329833341e+02 1.064659522649942791e-01 -3.053330271646260974e-04
1.327833195829895772e+02 1.029866170397612246e-01 5.241952202986264325e-03
1.327933198329958486e+02 9.369152577594448694e-02 2.014972822488927603e-02
1.328033200830020917e+02 9.307201327634513632e-02 3.713066598068474888e-02
1.328133203330083347e+02 8.803512357120855947e-02 3.856485508997659767e-02
1.328233205830145778e+02 8.814755516338218522e-02 2.510277719747627118e-02
1.328333208330208492e+02 8.860662359592508253e-02 6.902782937936488561e-03
1.328433210830270923e+02 7.819752769642906998e-02 1.509843374275423103e-02
1.328533213330333353e+02 7.350402676334666374e-02 1.837273884861562873e-02
1.328633215830395784e+02 7.363459301756461461e-02 1.947029716026569060e-02
1.328733218330458499e+02 8.483859288475754934e-02 2.210205083465978729e-02
1.328833220830520929e+02 8.666790893804067475e-02 3.166618944869015184e-02
1.328933223330583360e+02 7.934020899672944438e-02 3.681296161312067744e-02
1.329033225830645790e+02 8.272091930726627185e-02 4.031138560464277154e-02
1.329133228330708505e+02 9.917075593543443757e-02 3.397244453609803150e-02
1.329233230830770935e+02 1.075159753246507643e-01 4.402751094114257246e-02
1.329333233330833366e+02 1.121362184304661724e-01 3.781423143675406023e-02
1.329433235830895796e+02 1.184598291581684948e-01 4.711355316917136687e-02
1.329533238330958511e+02 1.319103390467189774e-01 4.271586981325746490e-02
1.329633240831020942e+02 1.415610829454946595e-01 4.818300268661629415e-02
1.329733243331083372e+02 1.460539909406493864e-01 6.533729409497078533e-02
1.329833245831145803e+02 1.556065596976186072e-01 7.128965004525660010e-02
1.329933248331208517e+02 1.435904313882281069e-01 8.474025143493005285e-02
1.330033250831270948e+02 1.275555758081176605e-01 8.017851001339397488e-02
1.330133253331333378e+02 1.282518991065417502e-01 8.033833227631059781e-02
1.330233255831395809e+02 1.280578788733632567e-01 7.598880852095982186e-02
1.330333258331458524e+02 1.217181435921018406e-01 5.863191872670334148e-02
1.330433260831520954e+02 1.290526484480914449e-01 6.873270180740076452e-02
1.330533263331583385e+02 1.094771496081351769e-01 7.373415314541799381e-02
1.330633265831645815e+02 1.034033263172028788e-01 7.797603192535712546e-02
1.330733268331708530e+02 9.790961776488149582e-02 8.951393034611140886e-02
1.330833270831770960e+02 8.101507338796863633e-02 7.726467532112171743e-02
1.330933273331833391e+02 9.553855610338760074e-02 6.273837507832710769e-02
1.331033275831895821e+02 8.130484973111212765e-02 7.452466345752147003e-02
1.331133278331958536e+02 7.498102397801174879e-02 7.307600262726901552e-02
1.331233280832020966e+02 8.367639132941931401e-02 7.449374768173686046e-02
1.331333283332083397e+02 8.967254958882112104e-02 5.907779309866796613e-02
1.331433285832145827e+02 7.798946609357877702e-02 7.320826446383885133e-02
1.331533288332208542e+02 8.440050484756854432e-02 7.918873632607820179e-02
1.331633290832270973e+02 8.685028826730546714e-02 7.264084534215640987e-02
1.331733293332333403e+02 1.096753452324578659e-01 9.277145775389948612e-02
1.331833295832395834e+02 1.130818532295858325e-01 7.820907110057140343e-02
1.331933298332458548e+02 1.109296618421075215e-01 7.413281198259027982e-02
1.332033300832520979e+02 1.016260097124051798e-01 8.326109744830054171e-02
1.332133303332583409e+02 9.358362143296691804e-02 9.396125894163288861e-02
1.332233305832645840e+02 8.485990055866382553e-02 7.809030187005100432e-02
1.332333308332708555e+02 9.811274120154667155e-02 7.447571276165561305e-02
1.332433310832770985e+02 9.768369150350418584e-02 8.118893814063876668e-02
1.332533313332833416e+02 1.027652705189196353e-01 9.510764872280209892e-02
1.332633315832895846e+02 1.173556320571533251e-01 1.080458115614068987e-01
1.332733318332958561e+02 9.313766337231417503e-02 1.139697000773857438e-01
1.332833320833020991e+02 1.055648728859817087e-01 1.137268669995377957e-01
1.332933323333083422e+02 1.056318276099529191e-01 1.107958417760655095e-01
1.333033325833145852e+02 1.094799722591381502e-01 1.146690809668677452e-01
1.333133328333208567e+02 1.006744857238985880e-01 1.278625833578426463e-01
1.333233330833270998e+02 9.275580979896362599e-02 1.244437476078131405e-01
1.333333333333333428e+02 9.733892933714292928e-02 1.204676034064866286e-01
1.333433335833395859e+02 1.208138560641186382e-01 1.307154617987898171e-01
1.333533338333458573e+02 1.302924279406204033e-01 1.400243990154286244e-01
1.333633340833521004e+02 1.423448548704767391e-01 1.336252001831944036e-01
1.333733343333583434e+02 1.396695196200737621e-01 1.191013722260303997e-01
1.333833345833645865e+02 1.328662890391468787e-01 1.007759220448070508e-01
1.333933348333708580e+02 1.242334562431895023e-01 1.010698217469544469e-01
1.334033350833771010e+02 1.186137335425255096e-01 8.901314930234785483e-02
1.334133353333833441e+02 9.734483762190673795e-02 9.708562493878153399e-02
1.334233355833895871e+02 8.960762394146556953e-02 7.894741461070590993e-02
1.334333358333958586e+02 8.350275321450600918e-02 9.429424139048231401e-02
1.334433360834021016e+02 8.138561514536495067e-02 8.998333739881146653e-02
1.334533363334083447e+02 8.233917677837827853e-02 8.109619050400848628e-02
1.334633365834145877e+02 8.554577464937064557e-02 7.487365739480481008e-02
1.334733368334208592e+02 8.491543146542136766e-02 6.547724501838210476e-02
1.334833370834271022e+02 7.857923251243148499e-02 7.996951532328129553e-02
1.334933373334333453e+02 5.855970133126836563e-02 8.588611855351507840e-02
